Gene	Pi-score
1-Mar	-0.200684413
1-Mar	-0.185055076
2-Mar	1.008640371
2-Mar	-0.454514317
2-Mar	-0.343681969
2-Mar	-0.138280642
3-Mar	-0.00073053
4-Mar	3.68E-07
5-Mar	0.056460578
5-Mar	0.026964508
6-Mar	0.122644985
6-Mar	0.205959772
6-Mar	0.003080825
7-Mar	0.141314446
8-Mar	-0.28454054
8-Mar	-0.07339084
8-Mar	-2.17E-05
9-Mar	-0.001025014
10-Mar	-0.026923164
10-Mar	0.002441649
10-Mar	0.001346697
11-Mar	-0.132836498
11-Mar	-0.059221673
15-Sep	-0.167680844
1-Dec	0.012520185
A1BG	0.128509829
A1BG	0.164546934
A1BG-AS1	-0.011379047
A1CF	0.160680962
A1CF	0.074426469
A1CF	0.002412087
A2M	-0.333804206
A2ML1	0.019022107
A3GALT2	0.04493747
A3GALT2	0.001910792
A4GALT	0.151826326
A4GNT	-0.357422809
AAAS	0.006880445
AACS	-0.035055329
AADAC	-0.113313327
AADACL2	-0.000238567
AADACL3	-0.081701758
AADACL4	0.162542821
AADACP1	0.118520286
AADACP1	-0.030582039
AADAT	-0.047463945
AADAT	-0.027085297
AADAT	0.01349672
AADAT	-0.002626719
AAED1	0.00172721
AAGAB	-0.029535683
AAK1	0.423641169
AAK1	0.033365971
AAK1	-0.00098074
AAK1	0.000744718
AAMDC	0.009153612
AAMP	-0.024387482
AANAT	0.001628743
AAR2	0.028188736
AARD	0.170276026
AARS	-0.050538481
AARS2	-0.061140448
AASDH	0.250380741
AASDHPPT	0.193323149
AASDHPPT	0.063302915
AASS	-0.399859263
AASS	-0.269453282
AATBC	-0.012573822
AATF	0.001946464
AATK	0.286670361
AATK	0.039967622
AATK	0.015826489
ABAT	0.01122087
ABAT	0.017319124
ABAT	-0.000715517
ABCA1	0.549555821
ABCA10	0.053568945
ABCA10	-0.01387702
ABCA11P	-0.173311116
ABCA12	-0.086995662
ABCA12	0.017194834
ABCA13	-0.008813083
ABCA17P	0.018168835
ABCA2	-0.437650896
ABCA2	-0.002972144
ABCA3	0.398414639
ABCA4	7.49E-05
ABCA5	0.143618854
ABCA5	0.067643747
ABCA5	0.010289326
ABCA6	0.263395176
ABCA6	-0.00892642
ABCA7	-0.025645608
ABCA7	0.047185063
ABCA8	0.021184945
ABCA8	0.000385017
ABCA9	0.044083919
ABCA9	-0.001074563
ABCB1	-0.189916471
ABCB1	-0.009341024
ABCB10	0.396996787
ABCB11	-0.000200841
