#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	CYP2C9	9606.ENSP00000478255	9606.ENSP00000260682	0	0	0	0	0.067	0.069	0	0.727	0.742
ABCB1	CDH1	9606.ENSP00000478255	9606.ENSP00000261769	0	0	0	0	0	0.047	0	0.492	0.495
ABCB1	ABCB4	9606.ENSP00000478255	9606.ENSP00000265723	0	0	0.051	0.978	0.109	0	0	0.637	0.666
ABCB1	CASP3	9606.ENSP00000478255	9606.ENSP00000311032	0	0	0	0	0.042	0.053	0	0.572	0.578
ABCB1	TOP1	9606.ENSP00000478255	9606.ENSP00000354522	0	0	0	0	0	0.053	0	0.398	0.406
ABCB1	JUN	9606.ENSP00000478255	9606.ENSP00000360266	0	0	0	0	0.083	0.053	0	0.398	0.431
ABCB1	BCL2L1	9606.ENSP00000478255	9606.ENSP00000365230	0	0	0	0	0.049	0	0	0.660	0.662
ABCB1	VKORC1	9606.ENSP00000478255	9606.ENSP00000378426	0	0	0	0	0	0	0	0.507	0.507
ABCB1	BCL2	9606.ENSP00000478255	9606.ENSP00000381185	0	0	0	0	0.049	0.166	0	0.622	0.674
ABCB1	TNF	9606.ENSP00000478255	9606.ENSP00000398698	0	0	0	0	0.057	0	0	0.424	0.433
ABCB1	ACACA	9606.ENSP00000478255	9606.ENSP00000483300	0	0	0	0	0.248	0.091	0	0.205	0.409
ABCB1	CYP1B1	9606.ENSP00000478255	9606.ENSP00000478561	0	0	0	0	0.067	0.069	0	0.461	0.491
ABCB4	ACACB	9606.ENSP00000265723	9606.ENSP00000341044	0	0	0	0	0.250	0.091	0	0.214	0.417
ABCB4	ACACA	9606.ENSP00000265723	9606.ENSP00000483300	0	0	0	0	0.248	0.091	0	0.235	0.431
ABCB4	FABP6	9606.ENSP00000265723	9606.ENSP00000377549	0	0	0	0	0	0	0	0.446	0.446
ACACA	IGFBP2	9606.ENSP00000483300	9606.ENSP00000233809	0	0	0	0	0	0	0	0.409	0.408
ACACA	MGLL	9606.ENSP00000483300	9606.ENSP00000265052	0.077	0	0	0	0	0	0	0.460	0.480
ACACA	FASN	9606.ENSP00000483300	9606.ENSP00000304592	0.055	0	0	0	0.572	0.073	0.900	0.964	0.998
ACACA	ACACB	9606.ENSP00000483300	9606.ENSP00000341044	0	0	0.052	0.977	0.049	0.459	0.900	0.424	0.966
ACACA	CS	9606.ENSP00000483300	9606.ENSP00000342056	0.105	0	0	0	0.121	0.058	0.800	0.544	0.920
ACACA	FDPS	9606.ENSP00000483300	9606.ENSP00000349078	0.052	0	0	0	0.184	0	0	0.397	0.493
ACACA	LSS	9606.ENSP00000483300	9606.ENSP00000380837	0	0	0	0	0.157	0.124	0	0.306	0.443
ACACA	TNF	9606.ENSP00000483300	9606.ENSP00000398698	0	0	0	0	0	0	0	0.575	0.575
ACACA	ACLY	9606.ENSP00000483300	9606.ENSP00000466259	0	0	0	0	0.374	0	0.800	0.900	0.986
ACACB	FASN	9606.ENSP00000341044	9606.ENSP00000304592	0.055	0	0	0	0.308	0	0.900	0.908	0.993
ACACB	CS	9606.ENSP00000341044	9606.ENSP00000342056	0.105	0	0	0	0.087	0.058	0.800	0.458	0.901
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000466259	0	0	0	0	0.205	0	0.800	0.828	0.970
ACLY	ACO2	9606.ENSP00000466259	9606.ENSP00000216254	0.091	0	0	0	0.105	0.095	0.936	0.739	0.985
ACLY	AHCY	9606.ENSP00000466259	9606.ENSP00000217426	0	0	0	0	0.229	0	0	0.311	0.447
ACLY	MGLL	9606.ENSP00000466259	9606.ENSP00000265052	0	0	0	0	0	0	0	0.432	0.432
