,gene name,logFC,pvalue,padj,G1,G2,G3,B1,B2,B3,classification
A1CF,A1CF,-1.91,0.00122486797825249,0.00635781331002286,25.6362654402012,36.2193807805159,26.2422606743504,3.13375878098002,12.9915864104483,7.46503141880145,Down
AACSP1,AACSP1,-0.82,8.15072441410955e-05,0.000576938142027423,167.551306269886,183.883010116465,145.26965730444,99.2356947310339,94.18900148,88.5139439657886,Down
AATBC,AATBC,-2.21,7.33327234819429e-07,7.93909386891119e-06,52.188111788981,71.5100594897365,53.4217449442133,6.26751756196004,11.9089542095776,20.2622281367468,Down
ABCA3,ABCA3,-1.26,9.54459262945423e-05,0.000666406886583451,86.9801863149684,103.085929913776,67.480098876901,32.3821740701269,47.6358168383104,27.7272595555482,Down
ABCB9,ABCB9,-0.7,0.0032633124246645,0.0147794600635994,124.519003566692,112.372950626729,139.646315731365,68.9426931815604,94.18900148,68.2517158290418,Down
ABCG4,ABCG4,-2.34,0.00159818711429475,0.00802754960953379,17.3960372629937,28.7897642101536,13.1211303371752,4.17834504130669,4.33052880348276,3.19929917948634,Down
ABHD14B,ABHD14B,-0.6,9.42487537745626e-09,1.40807747922253e-07,1045.59339759678,930.559475437869,970.026421355452,625.707169935677,730.776735587716,586.538182905828,Down
ABHD17AP4,ABHD17AP4,-1.89,0.00638155570148263,0.0261083998172938,16.4804563544151,21.3601476397914,25.3050370788379,4.17834504130669,2.16526440174138,10.6643305982878,Down
ABTB2,ABTB2,-0.97,4.49444739220554e-07,5.07445266306586e-06,272.843110756427,271.181004818221,197.754178653141,134.751627582141,135.329025108836,108.776172102535,Down
ACAA2,ACAA2,-0.79,5.60093163547032e-07,6.18114246054265e-06,265.518463487798,280.468025531174,312.095457305667,165.044629131614,164.560094532345,165.297124273461,Down
ACAP1,ACAP1,-1.04,4.42003286604897e-08,5.89920307387555e-07,206.921285338767,255.393069606202,221.184768540953,102.369453512014,127.750599702741,102.377573743563,Down
ACBD4,ACBD4,-0.9,8.17003095715567e-05,0.000577826396782347,152.902011732629,177.382095617398,164.951352810203,62.6751756196004,110.42848448881,91.7132431452749,Down
ACBD7,ACBD7,-2.19,0.00261209070953726,0.0122049819455464,16.4804563544151,27.8610621388584,14.0583539326877,3.13375878098002,4.33052880348276,5.33216529914389,Down
ACKR2,ACKR2,-2.63,0.00305632877130854,0.0139752131268461,18.3116181715723,14.8592331407245,13.1211303371752,1.04458626032667,5.41316100435345,1.06643305982878,Down
ACRBP,ACRBP,-2.35,2.23582928645483e-06,2.22905141298637e-05,63.1750826919244,39.0054869944017,39.3633910115256,5.22293130163336,11.9089542095776,10.6643305982878,Down
ACSBG1,ACSBG1,-2.26,0.00225205186857964,0.010779928071059,31.1297508916729,14.8592331407245,14.9955775282002,4.17834504130669,2.16526440174138,6.39859835897267,Down
ACSM3,ACSM3,-1.29,9.63883647873495e-06,8.39862205681077e-05,82.4022817720753,118.873865125796,92.7851359557389,35.5159328511069,44.3879202356983,40.5244562734936,Down
ACTN2,ACTN2,-1.53,0.00137734784497865,0.00707052577643652,34.7920745259874,39.0054869944017,33.7400494384505,13.5796213842467,8.66105760696552,14.9300628376029,Down
ACVR2B,ACVR2B,-0.66,0.00297156871091384,0.0136509098446207,152.902011732629,141.162714836882,149.955775282002,69.9872794418871,105.015323484457,105.576872923049,Down
ADA2,ADA2,-0.6,3.78641979497517e-05,0.000286994484462801,327.777965271144,302.756875242261,307.409339328105,207.872665805008,208.948014768043,202.622281367468,Down
ADAL,ADAL,-0.82,1.52407750230622e-12,3.88238690061164e-11,572.238067861634,544.219413779033,563.271380903021,314.420464358329,315.045970453371,322.062784068291,Down
ADAMTS13,ADAMTS13,-1.47,0.00205194711237368,0.00992767773040542,41.2011408860377,51.0786139212403,38.4261674160131,7.31210382228671,27.0658050217673,12.7971967179453,Down
ADAMTS5,ADAMTS5,-1.06,2.3787261698601e-42,3.88656584135358e-40,4192.44498038148,4136.43902554917,4268.11625396399,1767.43995247273,2165.26440174138,2107.27172622167,Down
ADCYAP1R1,ADCYAP1R1,-2.21,0.00697974954649648,0.0281295420843249,15.5648754458364,23.217551782382,14.9955775282002,8.35669008261338,0,3.19929917948634,Down
ADGRD1-AS1,ADGRD1-AS1,-1.77,0.0105708484364593,0.0397250811737554,36.6232363431446,11.1444248555433,20.6189191012753,11.4904488635934,3.24789660261207,5.33216529914389,Down
ADGRF3,ADGRF3,-1.75,0.000414033781592644,0.00246422147689432,42.1167217946163,53.8647201351262,36.5517202249881,8.35669008261338,23.8179084191552,7.46503141880145,Down
ADIRF-AS1,ADIRF-AS1,-1.21,2.55534056283225e-16,9.40453315893442e-15,438.563255209156,448.56310043562,469.54902135177,167.133801652268,231.683290986328,189.825084649523,Down
ADM,ADM,-0.73,2.26725349561351e-27,1.81182512989027e-25,2454.67241589927,2408.12447086866,2449.90247866971,1477.04497210192,1457.22294237195,1462.07972502526,Down
ADM-DT,ADM-DT,-1.28,3.800266293358e-05,0.000287904403299526,79.6555390463395,102.157227842481,89.9734651692014,49.0955542353536,36.8094948296035,25.5943934358907,Down
ADPRH,ADPRH,-1.3,0.00108010077822534,0.00571744638114659,59.5127590576099,44.5776994221734,65.605651685876,30.2930015494735,12.9915864104483,25.5943934358907,Down
ADPRHL1,ADPRHL1,-1.45,2.21064180011465e-10,4.14830895804982e-09,171.213629904201,142.091416908178,164.01412921469,56.4076580576403,58.4621388470173,59.7202513504116,Down
