,gene name,G1,G2,G3,C1,C2,C3,Young_mean,Aging_mean,logFC,pvalue,padj,classification
A1CF,A1CF,24.3082525951445,34.4226780681284,24.8667712505155,2.22413679659041,4.54054002357491,2.20385981345304,2.98951221120612,27.8659006379295,-3.220088041,0.00180092340735091,0.0112796460362627,Down in Young
A2MP1,A2MP1,1.73630375679603,0.882632770977652,1.7761979464654,0,0,0,0,1.46504482474636,-10.5177135,0.00734886497402926,0.0291004238902819,Down in Young
AATBC,AATBC,49.484657068687,67.9627233652792,50.6216414742638,6.67241038977124,11.3513500589373,6.61157944035913,8.21177996302256,56.0230073027433,-2.77010263,0.00150489825394019,0.0100830219412171,Down in Young
AATF,AATF,1896.04370242127,2068.89121517162,2177.61868236657,1350.05103553038,1341.72957696638,1373.00466378125,1354.928425,2047.51786665315,-0.595659038,0.00110244797852541,0.0082933165008671,Down in Young
ABCB1,ABCB1,41.6712901631048,48.5448024037708,49.7335425010311,5.56034199147603,11.3513500589373,4.40771962690609,7.10647055910647,46.6498783559689,-2.714496122,0.000279968071151281,0.00374635206615158,Down in Young
ABCB9,ABCB9,118.06865546213,106.798565288296,132.326747011672,70.060309092598,52.2162102711114,63.9119345901382,62.0628179846159,119.064655920699,-0.939932978,0.00325034243588365,0.0164962541380016,Down in Young
ABCC11,ABCC11,13.8904300543683,13.2394915646648,7.99289075909428,0,2.27027001178745,0,0.756756670595817,11.7076041260425,-3.949690634,0.00555658738878201,0.0240497262209923,Down in Young
ABCC2,ABCC2,164.080705017225,109.446463601229,162.522112101584,25.5775731607898,34.0540501768118,22.0385981345304,27.2234071573773,145.349760240013,-2.416566079,0.00297008402102638,0.0154888276104918,Down in Young
ABCC9,ABCC9,756.160286084673,731.702567140473,902.308556804421,444.827359318083,515.351292675752,461.708630918412,473.962427637416,796.723803343189,-0.749305748,0.00490264155153618,0.0219921538125351,Down in Young
ABCF2,ABCF2,568.639480350701,639.02612618782,603.907301798234,407.017033776046,376.864821956717,400.000556141727,394.62747062483,603.857636112252,-0.613715809,0.00071487737575122,0.00644633416242196,Down in Young
ABCG2,ABCG2,92.0240991101898,86.4980115558099,89.6979962965025,26.689641559085,43.1351302239616,49.5868458026935,39.80387253,89.4067023208341,-1.16745408,0.00209631788251267,0.0124280864304302,Down in Young
ABHD17AP4,ABHD17AP4,15.6267338111643,20.300553732486,23.9786722772828,2.22413679659041,2.27027001178745,8.81543925381217,4.43661535406334,19.9686532736444,-2.169952757,0.00888584937231445,0.0331802819565218,Down in Young
ABHD5,ABHD5,776.995931166226,684.923030278658,708.702980639693,360.310161047647,353.026986832949,463.912490731865,392.416546204154,723.540647361526,-0.882686511,0.00184903745332847,0.0114699624735788,Down in Young
ABLIM3,ABLIM3,1453.28624443828,1427.21719067086,1405.86067462736,661.680696985648,696.972893618748,684.29847207717,680.984020893855,1428.78803657883,-1.069097946,1.65925518273354e-06,0.000416571923418197,Down in Young
ABRAXAS2,ABRAXAS2,966.253040656993,907.346488565026,949.377802385754,660.568628587353,656.108033406574,631.405836554297,649.360832849408,940.992443869258,-0.535162081,0.000121780615278792,0.00249098025163647,Down in Young
ABTB2,ABTB2,258.709259762609,257.728769125474,187.388883352099,86.7413350670261,74.9189103889859,110.192990672652,90.6177453762213,234.608970746727,-1.372382906,0.00504441043246786,0.0224652759626923,Down in Young
ACAA2,ACAA2,251.764044735425,266.555096835251,295.736958086488,189.051627710185,167.999980872271,191.735803770415,182.929137450957,271.352033219055,-0.568878259,0.00408193654048612,0.0192819124084745,Down in Young
ACBD5,ACBD5,706.675629015986,706.988849553099,736.234048809906,477.077342868644,535.783722781839,503.58196737402,505.481011008168,716.632842459664,-0.503576425,0.000420981359056386,0.00474384866006324,Down in Young
ACKR2,ACKR2,17.3630375679603,14.1221243356424,12.4333856252578,5.56034199147603,3.40540501768118,3.30578972017956,4.09051224311226,14.6395158429535,-1.839260312,0.00288815800124756,0.0152164561900162,Down in Young
ACOT13,ACOT13,468.802014334929,471.325899702066,466.251960947166,254.663663209602,326.918881697393,323.967392577597,301.849979161531,468.793291661387,-0.635118522,0.00212563792693456,0.0125326073248676,Down in Young
ACSM4,ACSM4,47.748353311891,67.0800905943015,71.9360168318485,5.56034199147603,17.0270250884059,15.4270186941713,12.6714619246844,62.2548202460137,-2.296511891,0.00379313448017366,0.0182768840649395,Down in Young
ACTA1,ACTA1,1.73630375679603,0.882632770977652,1.7761979464654,0,0,0,0,1.46504482474636,-10.5177135,0.00734886497402926,0.0291004238902819,Down in Young
ACTG1P1,ACTG1P1,11.2859744191742,8.82632770977652,7.99289075909428,5.56034199147603,4.54054002357491,4.40771962690609,4.83620054731901,9.36839762934833,-0.953783946,0.0126225960039607,0.0427797498902876,Down in Young
ACTL8,ACTL8,5.2089112703881,7.94369493879887,4.44049486616349,0,1.13513500589373,0,0.37837833529791,5.86436702511682,-3.950512188,0.00826876388587649,0.0315229816544713,Down in Young
ACTN2,ACTN2,32.9897713791247,37.0705763810614,31.9715630363771,7.78447878806645,7.94594504125608,3.30578972017956,6.3454045165007,34.0106369321877,-2.422017057,0.000220853229370307,0.00332698086837774,Down in Young
ACTR3-AS1,ACTR3-AS1,49.484657068687,50.3100679457261,59.5026312065907,21.1292995676089,22.7027001178745,17.6308785076243,20.4876260643692,53.0991187403346,-1.373891844,0.000774183408157378,0.00673689231485139,Down in Young
ADAL,ADAL,542.594923998761,517.222803792904,533.747482912851,280.241236370392,255.405376326088,262.259317800912,265.968643499131,531.188403568172,-0.997964775,1.45536767113964e-05,0.00101334824302097,Down in Young
ADAM21,ADAM21,23.4401007167465,30.8921469842178,30.1953650899117,13.3448207795425,12.486485064831,12.1212289739917,12.6508449394551,28.175870930292,-1.155163628,0.00295999664693402,0.0154535295209079,Down in Young
ADAM32,ADAM32,65.9795427582493,55.6058645715921,55.9502353136599,31.1379151522658,27.2432401414494,33.0578972017956,30.4796841651703,59.1785475478338,-0.957203381,0.00165977934403877,0.0106841282424253,Down in Young
ADAMTS1,ADAMTS1,4001.31200753646,4519.07978740558,4485.78791379836,2337.56777321652,3055.78343586591,2613.77773875531,2669.04298261258,4335.3932362468,-0.69984011,0.00339882372703999,0.0170049971253185,Down in Young
ADAMTS13,ADAMTS13,39.0668345279108,48.5448024037708,36.4120579025406,25.5775731607898,20.4324301060871,16.5289486008978,20.8463172892582,41.3412316114074,-0.987754522,0.0105391706286503,0.0374634415184351,Down in Young
ADAMTS15,ADAMTS15,74.6610615422295,53.8405990296367,61.2788291530561,23.3534363641993,26.1081051355557,16.5289486008978,21.9968300335509,63.2601632416408,-1.523958868,0.00357429443731105,0.0175364263544411,Down in Young
ADCY10,ADCY10,22.5719488383485,20.300553732486,21.3143753575847,0,3.40540501768118,2.20385981345304,1.86975494371141,21.3956259761397,-3.515690824,8.18712394227016e-05,0.00208080115741328,Down in Young
ADCY10P1,ADCY10P1,268.258930424987,299.212509361424,245.115316612225,182.379217320414,181.621600942996,150.964397221533,171.655071828314,270.862252132879,-0.658043788,0.00615789091758737,0.0258654403540398,Down in Young
ADCYAP1R1,ADCYAP1R1,14.7585819327663,22.0658192744413,14.2095835717232,0,1.13513500589373,0,0.37837833529791,17.0113282596436,-5.486799493,0.00289591252181309,0.0152346167238688,Down in Young
ADGRA3,ADGRA3,1565.27783675163,1636.40115739257,1735.34539369669,1188.80111777758,1088.59447065208,1112.94920579379,1130.11493140782,1645.67479594696,-0.54220937,0.000874062248989362,0.00724687176765895,Down in Young
ADGRE5,ADGRE5,2884.86869191661,2767.93636978592,2722.91145193145,1689.23189701042,1725.40520895846,1552.61923857767,1655.75211484885,2791.90550454466,-0.753763057,9.11568865072197e-05,0.00218448808943039,Down in Young
ADGRF1,ADGRF1,25.1764044735425,40.601107464972,24.8667712505155,2.22413679659041,2.27027001178745,5.50964953363261,3.33468544733682,30.21476106,-3.179246125,0.0071533206925621,0.0285728880906357,Down in Young
ADGRF3,ADGRF3,39.9349864063088,51.1927007167038,34.6358599560752,15.5689575761329,17.0270250884059,9.91736916053869,14.1711172750258,41.9211823596959,-1.564658513,0.00653750957030552,0.0269568828167978,Down in Young
ADGRF4,ADGRF4,65.9795427582493,55.6058645715921,61.2788291530561,25.5775731607898,15.8918900825122,14.3250887874448,18.5981840102489,60.9547454942992,-1.712522883,0.000788153370978566,0.00683204236880825,Down in Young
ADIRF-AS1,ADIRF-AS1,415.84474975265,426.311628382206,444.937585589581,204.620585286318,233.837811214108,179.614574796423,206.024323765616,429.031321241479,-1.058264659,0.000235039790540237,0.00342284929378692,Down in Young
ADM,ADM,2327.51518598508,2288.66677514505,2321.49071603027,871.861624263442,1090.86474066387,1004.96007493459,989.228813287301,2312.55755905347,-1.225112273,3.40391636705796e-05,0.00140266441009975,Down in Young
ADM5,ADM5,35.5942270143187,28.2442486712849,34.6358599560752,13.3448207795425,10.2162150530435,14.3250887874448,12.6287082066769,32.8247785472263,-1.378007921,0.00152116498407853,0.0101480683133474,Down in Young
ADM-DT,ADM-DT,75.5292134206275,97.0896048075417,85.257501430339,24.4655047624946,13.6216200707247,19.8347383210774,19.3072877180989,85.9587732195027,-2.154441447,0.000672017735987049,0.00624283042770408,Down in Young
ADORA2B,ADORA2B,626.805656203368,636.378227874887,556.838056216901,385.887734208437,423.40535719836,420.937224369531,410.076771925443,606.673980098385,-0.565026269,0.00212252848136168,0.0125229788771518,Down in Young
ADPRH,ADPRH,56.4298720958711,42.3663730069273,62.1669281262888,23.3534363641993,19.2972951001933,31.9559672950691,24.8688995864872,53.6543910763624,-1.109322452,0.0144670671059128,0.0472695236031519,Down in Young
ADPRHL1,ADPRHL1,162.344401260429,135.042813959581,155.417320315722,38.9223939403322,37.459455194493,34.1598271085222,36.8472254144491,150.934845178577,-2.03426842,0.000163382435346617,0.00284448590146006,Down in Young
ADRM1,ADRM1,1264.02913494751,1270.10855743684,1339.25325163491,826.266819933339,925.135029803387,932.232701090637,894.544850275788,1291.13031467309,-0.529408402,0.000692067493158005,0.00634248519279976,Down in Young
AFP,AFP,7.81336690558216,7.94369493879887,7.99289075909428,3.33620519488562,2.27027001178745,2.20385981345304,2.6034450067087,7.9166508678251,-1.604096478,0.000137776289288318,0.00263188857554853,Down in Young
