ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,classify
BP,GO:0030198,Extracellular matrix organization,62/924,332/18888,0.186746987951807,3.81739946800188,11.7460336523992,4.14418014305426e-20,9.53632119017066e-17,8.44314923961535e-17,ABI3BP/ADAMTS12/ADAMTS2/ADAMTSL1/AEBP1/BMP1/BMP2/CCDC80/COL11A1/COL12A1/COL14A1/COL16A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3/COL6A1/CST3/DPP4/EFEMP2/EMILIN1/FKBP10/FLRT2/FMOD/FSCN1/HMCN1/LAMA1/LAMA2/LAMB1/LAMB2/LAMC1/LOX/LOXL1/LOXL2/LRP1/MATN2/MFAP4/MMP11/MMP16/MMP2/NID1/NID2/OLFML2A/P4HA1/PHLDB1/POSTN/PPARG/PXDN/RECK/SERPINH1/SLC2A10/SLC39A8/SULF1/TGFBI/THSD4/TNXB,62,up
BP,GO:0085029,Extracellular matrix assembly,13/924,55/18888,0.236363636363636,4.83164108618654,6.45390198647577,1.80856142357769e-06,0.000292986950619586,0.000259401135931823,COL1A2/COL3A1/COL6A1/EFEMP2/EMILIN1/FKBP10/LOX/MFAP4/PHLDB1/PPARG/PXDN/THSD4/TNXB,13,up
BP,GO:0048588,Developmental cell growth,28/924,238/18888,0.117647058823529,2.40488922841864,4.94660344613799,1.60251714113135e-05,0.00164241654750237,0.00145414229949276,APOE/BDNF/COL14A1/CPNE1/CXCL12/CYFIP1/EDNRA/FN1/ITGA4/LAMB2/LIMK1/MEGF8/MEIS1/NDEL1/NIN/PLXNA1/POSTN/PPP3CB/PRKG1/RGS4/RNF157/SEMA3C/SEMA3D/SEMA5A/SEMA6D/SYT1/TGFBR2/TRPV2,28,up
CC,GO:0005788,Endoplasmic reticulum lumen,52/946,313/19894,0.166134185303514,3.49373518227073,9.93617173174808,2.4431127510841e-15,2.54083726112747e-13,2.05735810617609e-13,ADAMTSL1/AMBN/APOE/BDNF/CD4/CDH2/CLU/COL11A1/COL12A1/COL14A1/COL16A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3/COL6A1/COL6A2/COL6A3/CST3/FBN1/FKBP10/FN1/H6PD/IGFBP3/IGFBP5/LAMB1/LAMB2/LAMC1/LGALS1/MANF/MFGE8/NUCB1/OS9/P3H1/P4HA1/P4HA2/PCSK9/PDGFD/PDIA5/RCN3/RNASET2/SDC2/SERPING1/SERPINH1/TXNDC16/UGGT2,52,up
CC,GO:0043202,Lysosomal lumen,25/946,98/19894,0.255102040816327,5.3646934460888,9.67814408021757,3.06316548908393e-12,1.99105756790456e-10,1.61219236267575e-10,AGRN/CTSF/DCN/FMOD/GAA/GPC1/GPC6/HEXB/HSPA8/IDUA/MAN2B1/MAN2B2/NAGLU/OGN/OMD/PDGFRB/PLBD2/PLD3/PRELP/PSAP/RNASET2/SDC2/SDC3/TCN2/TPP1,25,up
CC,GO:0098644,Complex of collagen trimers,10/946,21/19894,0.476190476190476,10.0140944326991,9.23451425554596,1.23250135106921e-08,4.93000540427683e-07,3.99190720994076e-07,COL11A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3,10,up
MF,GO:0050840,Extracellular matrix binding,19/925,64/18522,0.296875,5.94456081081081,9.08466995012971,1.60349425385465e-10,3.67200184132714e-08,3.27028433351934e-08,ADAM9/ADGRG6/AGRN/BCAM/CD248/COL11A1/DCN/FBLN2/GPC1/ITGAV/LGALS1/LGALS3/LTBP2/NID1/OLFML2A/PXDN/SPARC/TGFBI/TNXB,19,up
MF,GO:0005518,Collagen binding,19/925,68/18522,0.279411764705882,5.59488076311606,8.70296444750536,5.09800802596903e-10,9.33955070357527e-08,8.31780256868632e-08,ADAM9/ADGRG6/AEBP1/COL14A1/COL5A3/COL6A1/COL6A2/FN1/ITGA11/LOX/MRC2/NID1/NID2/P3H1/PCOLCE/SERPINH1/SPARC/TGFBI/TNXB,19,up
MF,GO:0019838,Growth factor binding,23/925,135/18522,0.17037037037037,3.41145945945946,6.44725988286375,2.24420834411398e-07,2.28410538134268e-05,2.03422393764718e-05,CD109/COL1A1/COL1A2/COL3A1/COL4A1/COL5A1/COL6A1/FGFR1/FLT1/GLG1/GPC1/IGFBP3/IGFBP5/ITGAV/LTBP2/LTBP3/LTBP4/NTRK2/PDGFRB/PXDN/SDCBP/SEC61B/TGFBR2,23,up
BP,GO:0000075,Cell cycle checkpoint signaling,19/543,191/18888,0.0994764397905759,3.46024124266003,5.87937228887305,2.75185370020885e-06,0.00275666944418421,0.00264105538017412,ANAPC15/BLM/BRCA1/BUB1B/CDC20/CDCA8/CHMP4C/DUSP1/EME1/FANCD2/FBXO6/MDC1/MRNIP/MUC1/NABP1/NDC80/PPP1R10/RAD9B/TRIP13,19,down
BP,GO:0045786,Negative regulation of cell cycle,25/543,405/18888,0.0617283950617284,2.1471932337494,4.01513732547655,0.00030369349600502,0.0361668284219462,0.0346500001982945,ANAPC15/BLM/BRCA1/BUB1B/CDC20/CDCA8/CHMP4C/DUSP1/E2F8/EME1/ESPL1/FANCD2/FBXO43/FBXO6/MDC1/MRNIP/MUC1/NABP1/NDC80/NEK2/NME6/NUDT6/PPP1R10/RAD9B/TRIP13,25,down
BP,GO:0006706,Steroid catabolic process,5/543,24/18888,0.208333333333333,7.24677716390424,5.26826106380164,0.000520763260186127,0.0422261080067142,0.0404551550314546,AKR1D1/CYP24A1/CYP27B1/HSD11B1/HSD17B6,5,down
BP,GO:1990869,Cellular response to chemokine,10/543,101/18888,0.099009900990099,3.44401290957825,4.23699558720768,0.000655014046804778,0.0486044682508656,0.0465660083566671,ACKR2/CCL26/CCR3/CCRL2/CXCL11/CXCL3/CXCL5/CXCL8/CXCR6/DUSP1,10,down
CC,GO:0045178,Basal part of cell,18/561,305/19894,0.059016393442623,2.09282019812396,3.27623047932067,0.00270474781944606,0.161800829317695,0.148979451932694,AQP7/ATP2C2/C5AR1/CLDN7/DTNB/KRT14/MARVELD2/MTTP/SLC16A12/SLC16A6/SLC22A1/SLC27A5/SLC2A1/SLC30A1/SLC3A2/SLC43A2/SLC6A12/SLC7A8,18,down
CC,GO:0030863,Cortical cytoskeleton,9/561,104/19894,0.0865384615384615,3.06879884821061,3.60324659384019,0.00270634702870482,0.161800829317695,0.148979451932694,ACTN2/BSN/CALB1/LLGL2/MISP/PCLO/PLS1/RIMS4/SLC2A1,9,down
CC,GO:0009925,Basal plasma membrane,17/561,286/19894,0.0594405594405594,2.10786183513456,3.214651629,0.00325773481847707,0.161800829317695,0.148979451932694,AQP7/ATP2C2/C5AR1/CLDN7/DTNB/MARVELD2/MTTP/SLC16A12/SLC16A6/SLC22A1/SLC27A5/SLC2A1/SLC30A1/SLC3A2/SLC43A2/SLC6A12/SLC7A8,17,down
CC,GO:0099568,Cytoplasmic region,17/561,298/19894,0.0570469798657718,2.02298149278015,3.03091767186322,0.00491476511793513,0.180783846846275,0.166458222340501,BSN/CFAP53/CFAP70/DNAAF1/DNAH6/DNAI7/DNALI1/EFHB/HYDIN/KIF17/KIF4A/KIF5A/MYO5B/PCLO/RIMS4/SAXO2/SPACA9,17,down
MF,GO:0030527,Structural constituent of chromatin,13/564,97/18522,0.134020618556701,4.40129414345251,5.95208458590226,7.56169809346652e-06,0.00552003960823056,0.00525339025440832,H1-2/H1-4/H2AC15/H2AC19/H2BC11/H2BC15/H2BC17/H2BC18/H2BC19P/H2BC21/H2BC8/H3C10/H4C4,13,down
