category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,classify
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,19/490,105/9497,0.180952380952381,3.50715257531584,6.02524461705389,1.43097403205337e-06,0.000114120179056256,0.000100544754357434,COL11A1/COL12A1/COL14A1/COL16A1/COL19A1/COL1A1/COL1A2/COL28A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/COL5A3/COL6A1/COL6A2/COL6A3/DPP4/SLC38A2,19,Activated
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,38/490,362/9497,0.104972375690608,2.03453602435449,4.68084153938039,2.16679099263179e-05,0.000987437609499342,0.000869974729372461,AKT3/BDNF/COL1A1/COL1A2/COL4A1/COL4A2/COL6A1/COL6A2/COL6A3/FGFR1/FLT1/FN1/GNB5/HGF/IL4R/ITGA11/ITGA4/ITGA7/ITGAV/LAMA1/LAMA2/LAMB1/LAMB2/LAMC1/LPAR1/MAP2K2/NTRK2/PDGFD/PDGFRB/PHLPP2/PPP2R3A/PRKCA/PTK2/SGK1/THBS2/TNXB/TSC2/VEGFD,38,Activated
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,17/490,166/9497,0.102409638554217,1.98486599459061,2.98569474214335,0.00527501085540571,0.0764876574033828,0.0673888946599677,AGTR1/AKT3/ATP2B4/CACNA1C/CALM1/EDNRA/GNA12/GUCY1A1/GUCY1B1/ITPR2/KCNMB2/MAP2K2/NPR1/PDE3A/PLCB1/PPP3CB/PRKG1,17,Activated
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,19/490,212/9497,0.089622641509434,1.73703311513285,2.53129224921986,0.0133348298011491,0.141793690218886,0.124926300242345,AKT3/CALM1/EVL/FGFR1/FLT1/HGF/LPAR1/MAGI3/MAP2K2/P2RY1/PDGFD/PDGFRB/PLCB1/PRKCA/PRKD1/RALB/RAPGEF1/SIPA1L1/VEGFD,19,Activated
Environmental Information Processing,Signal transduction,hsa04392,Hippo signaling pathway - multiple species,5/490,29/9497,0.172413793103448,3.34166080225194,2.94558915478324,0.0152230359587486,0.156649950672284,0.138015300542814,FAT4/RASSF4/TEAD2/TEAD3/WTIP,5,Activated
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,12/490,122/9497,0.0983606557377049,1.90639009702242,2.35010756584693,0.023342854683189,0.201253260646954,0.17731272262906,ACACA/AKT3/EEF2K/FASN/HMGCR/LEPR/PFKL/PPARG/PPP2R3A/SCD/SREBF1/TSC2,12,Activated
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,20/490,254/9497,0.078740157480315,1.52611280732766,1.9822917225865,0.0390849258798466,0.271312810988308,0.23903818028008,AGTR1/ATP2B4/CACNA1C/CALM1/EDNRA/FGFR1/FLT1/HGF/HTR2B/ITPR2/MCOLN2/MCOLN3/NTRK2/PDGFD/PDGFRB/PLCB1/PPP3CB/PRKCA/PTGFR/VEGFD,20,Activated
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,7/490,65/9497,0.107692307692308,2.08725274725275,2.05146261796306,0.0491755924670669,0.295602529298284,0.260438460064814,AKT3/ARRB1/CACNA1C/ITPR2/MAP2K2/PLCB1/PRKCA,7,Activated
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,11/241,105/9497,0.104762,4.128315,5.201076,6.81E-05,0.004161,0.003848,BIRC3/BTK/CARD14/CXCL3/CXCL8/CYLD/ICAM1/LTB/RELB/TNFAIP3/TRAF1,11,Suppressed
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,12/241,158/9497,0.075949,2.992909,4.07599,0.000677,0.027835,0.02574,ANAPC15/BUB1B/CDC14A/CDC20/CDCA5/DBF4B/ESPL1/MYC/NDC80/SFN/SGO1/TRIP13,12,Suppressed
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,10/241,119/9497,0.084034,3.311482,4.094267,0.000868,0.031238,0.028886,BIRC3/CREB3L4/CXCL3/CXCL5/CYLD/ICAM1/IL6/IRF1/TNFAIP3/TRAF1,10,Suppressed
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,6/241,64/9497,0.09375,3.694372,3.489714,0.005506,0.093275,0.086252,AKR1D1/CYP1A1/DHRS11/HSD11B1/HSD17B1/HSD17B6,6,Suppressed
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,7/241,95/9497,0.073684,2.903647,3.008883,0.010344,0.165499,0.153038,CXCL3/CXCL5/CXCL8/IL17RE/IL6/TNFAIP3/TRAF3IP2,7,Suppressed
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,8/241,157/9497,0.050955,2.007982,2.054926,0.046475,0.406628,0.376012,CXCL8/FOXM1/IL6/MYC/RAD9B/SERPINE1/SQSTM1/TRAF3IP2,8,Suppressed
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,3/241,32/9497,0.09375,3.694372,2.463426,0.046628,0.406628,0.376012,BCL2L11/BIRC3/NGFR,3,Suppressed
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,8/241,159/9497,0.050314,1.982724,2.016371,0.049417,0.406628,0.376012,BIRC3/CHMP4C/CYLD/H2AC15/H2AC19/PLA2G4C/SQSTM1/TNFAIP3,8,Suppressed
